,word,man,woman,non-binary,man+,woman+,non-binary+,variance,total
0,gender,0.003031485942736238,0.007995872581915475,0.1689062828252255,-0.05694639450722284,-0.0519820078680436,0.10892840237526641,0.24693839627046368,0.17993364134987722
1,non-binary,8.552117012340123e-05,0.00016211936901831215,0.10255087484580859,-0.03418065062486003,-0.03410405242596512,0.06828470305082515,0.14520416761770616,0.1027985153849503
2,women,0.01279722802134548,0.05605059153227049,0.051593345287616485,-0.027349826925732,0.015903536585193008,0.011446290340539005,0.1430852379612512,0.12044116484123245
3,people,0.019153142013542325,0.019192666625568854,0.057476397767579526,-0.012787593455354573,-0.012748068843328044,0.025535662298682628,0.11498101078949777,0.0958222064066907
4,transgender,0.0005574943936532321,0.0012639366788808348,0.07402962470905582,-0.024726190866876725,-0.024019748581649125,0.04874593944852586,0.10599847326104599,0.07585105578158988
5,trans,0.0005377314559455216,0.0008917411624356892,0.0605320010968876,-0.020116093115810748,-0.01976208340932058,0.03987817652513133,0.08662812325787188,0.061961473715268806
6,woman,0.008379828470168065,0.043554021359047713,0.01407649972818663,-0.013623621382299405,0.021550571506580244,-0.00792695012428084,0.08076316236392629,0.06601034955740241
7,man,0.03876491699685923,0.015602016935390987,0.009253411553061728,0.017558135168421918,-0.005604764893046326,-0.011953370275375585,0.07667669598558872,0.06362034548531194
8,identity,0.002104942926214212,0.002685375381677739,0.04398028948042439,-0.014151926336557902,-0.013571493881094375,0.027723420217652273,0.06576077913533909,0.048770607788316336
9,men,0.01624374929059879,0.016599890179639153,0.021177696351433968,-0.0017633626499585116,-0.001407221760918148,0.0031705844108766666,0.062499722333009614,0.05402133582167191
10,sex,0.0026321309877895016,0.005832947455442172,0.03691960760814169,-0.01249609769600162,-0.00929528122834895,0.02179137892435057,0.058853874498419466,0.045384686051373364
11,sexual,0.002946144793811362,0.006619133603084542,0.03618636051695202,-0.012304401510804612,-0.008631412701531432,0.02093581421233604,0.058780590755516664,0.04575163891384792
12,god,0.027152355000468642,0.015747055848938405,0.002294684647257397,0.012087656501580495,0.0006823573500502576,-0.01277001385163075,0.055072606578707016,0.04519409549666444
13,pronouns,0.0003151722371975238,0.0003432283353465149,0.038254697708038216,-0.012655860522996559,-0.012627804424847568,0.025283664947844134,0.05456984747786017,0.03891309828058225
14,lgbtq,0.0002708851111365407,0.0005129439873145924,0.03446908453755047,-0.011480086100863995,-0.011238027224685943,0.02271811332554994,0.04930742539376546,0.03525291363600161
15,female,0.0028800644990512434,0.00884155037054713,0.025916291129363465,-0.00966590416726937,-0.003704418295773483,0.013370322463042853,0.04663404226916457,0.037637905998961836
16,person,0.007600375366346102,0.00798366056274319,0.022299134762636952,-0.005027348197562646,-0.004644063001165558,0.009671411198728204,0.04531986953325409,0.037883170691726246
17,male,0.0031985377095077316,0.005952388228226983,0.02608984735516003,-0.008548386721457182,-0.005794536202737931,0.014342922924195116,0.04436500655241056,0.03524077329289474
18,time,0.014004477298197109,0.012940240805180508,0.009474776207863586,0.0018646458611167073,0.0008004093681001061,-0.002665055229216815,0.0421868008572279,0.0364194943112412
19,like,0.011448521418492478,0.011021970627434237,0.013863836960775595,-0.0006629215837416248,-0.0010894723747998658,0.0017523939585414924,0.042011211822845104,0.03633432900670231
20,life,0.015111106001300651,0.013840532054901964,0.0069247957680223585,0.0031522947265589935,0.001881720780160306,-0.0050340155067192995,0.04189244744005925,0.03587643382422497
21,world,0.013790115792578495,0.011706773461257817,0.010048438015067917,0.0019416733696104183,-0.00014166896171025935,-0.001800004407900159,0.04112976094803009,0.03554532726890423
22,new,0.012878343771872738,0.012127202120898737,0.010336833900459575,0.0010975505074623873,0.0003464088564883866,-0.0014439593639507756,0.040851618255857876,0.03534237979323105
23,health,0.004207898178262886,0.010085794675106308,0.018605289103004123,-0.006758429140528222,-0.0008805326436847997,0.007638961784213015,0.03934373466867593,0.03289898195637332
24,said,0.0125067376738032,0.01289434827308069,0.007349082897287361,0.0015900147257461167,0.001977625325023607,-0.003567640050769722,0.03806921700510472,0.03275016884417125
25,rights,0.006111870041380312,0.008447639340053516,0.01687811050446337,-0.0043673365872520875,-0.0020315672885788828,0.0063989038758309694,0.037174078658567686,0.031437619885897196
26,social,0.006422701835011305,0.007631255849045399,0.01705208560604222,-0.0039459792616883356,-0.0027374252476542417,0.006683404509342581,0.03684897172753057,0.031106043290098924
27,binary,0.0002280950360581812,0.0002188676877437577,0.025750316338226664,-0.008504331317951351,-0.008513558666265776,0.017017889984217133,0.036735216784208005,0.0261972790620286
28,intersex,0.00011887730373403831,0.00023053617101560678,0.02562431075553327,-0.008539030773026934,-0.008427371905745365,0.016966402678772297,0.03648707895716528,0.025973724230282914
29,community,0.004118283935358162,0.005182951401019831,0.020208177460383312,-0.005718186996895607,-0.004653519531233938,0.010371706528129543,0.036373054967620826,0.029509412796761305
30,children,0.00850704278572792,0.012882592655179633,0.009185337595549181,-0.001684614893090991,0.002690934976360722,-0.0010063200832697294,0.03546167471231102,0.030574973036456732
31,years,0.011821966540257316,0.01167387301171974,0.006835273673475309,0.0017115954651065277,0.001563501936568951,-0.0032750974016754796,0.035252455228809786,0.030331113225452365
32,gay,0.0017218866517827206,0.0019564736656510367,0.02231735043291396,-0.006943350264999853,-0.006708763251131537,0.013652113516131388,0.03436035201518172,0.02599571075034772
33,work,0.009225104226258284,0.00970220672547233,0.010420698890245442,-0.0005575657210670684,-8.046322185302317e-05,0.0006380289429200898,0.03389884969102956,0.029348009841976056
34,queer,0.00031266495093340774,0.0005306177535482212,0.0234180779597938,-0.007774455270491736,-0.007556502467876923,0.015330957738368655,0.033725351164738876,0.02426136066427543
35,day,0.010439840165261807,0.010490727148139508,0.007619011348655907,0.0009233139445760652,0.0009742009274537663,-0.001897514872029834,0.03304804675748425,0.028549578662057224
36,way,0.009361491811098932,0.0083321646723135,0.010666087227698746,-9.175609260479375e-05,-0.0011210832313902266,0.0012128393239950203,0.03278876297094188,0.028359743711111177
37,use,0.006611769793716588,0.0064821978922967385,0.01440971702188501,-0.0025561251089161905,-0.00268569701033604,0.0052418221192522315,0.0324010340341521,0.027503684707898338
38,just,0.009255362974471198,0.008724199176814273,0.009751762019439728,1.1588250896131871e-05,-0.0005195755467607924,0.0005079872958646623,0.032029620631714856,0.0277313241707252
39,human,0.01001415714025035,0.008141689003078559,0.008973885238482877,0.0009709133463130896,-0.000901554790858702,-6.935855545438414e-05,0.0313547984234503,0.027129731381811784
40,lgbt,0.0004448172111147464,0.0006746072426248341,0.02155793149663984,-0.007114301439011727,-0.0068845114075016395,0.013998812846513366,0.031299518216693537,0.02267735595037942
41,history,0.010021873583728635,0.009634792942516911,0.007101356155928,0.0011025326896707873,0.0007154520484590633,-0.001817984738129848,0.03097883506987411,0.026758022682173546
42,family,0.008043560202494054,0.011303671695694085,0.007199698144093116,-0.0008054164782663655,0.002454695014933665,-0.001649278536667304,0.030806606476063134,0.026546930042281258
43,society,0.006988622225387609,0.007427051611246044,0.011453318510336511,-0.0016343752236024451,-0.00119594583774401,0.0028303210613464577,0.030072997958170245,0.02586899234697016
44,students,0.004577428173194934,0.0049003601314968545,0.015264521314180216,-0.0036700083664290683,-0.0033470764081271476,0.007017084774556214,0.02983544660846073,0.024742309618872006
45,identities,0.0003925425201658146,0.0006232496448911388,0.020426806253211277,-0.0067549902859235945,-0.0065242831611982705,0.013279273447121868,0.02962401003212336,0.02144259841826823
46,black,0.007518068914094839,0.009373369741725916,0.008553037131101577,-0.0009634230148792711,0.0008918778127518061,7.154520212746679e-05,0.029410154925628342,0.02544447578692233
47,make,0.007860414376054666,0.007716993873504186,0.009655995758045651,-0.0005507202931468343,-0.0006941407956973147,0.0012448610888441507,0.02917706360306627,0.0252334040076045
48,language,0.0047841121320702775,0.004078898937688419,0.015176117068462185,-0.003228930580670016,-0.003934143775051874,0.007163074355721891,0.02911562048724996,0.02403912813822088
49,did,0.011006651383109885,0.009438009046522639,0.004200461362208639,0.0027916107858294986,0.0012229684492422524,-0.0040145792350717475,0.02890066250489164,0.02464512179184116
